umap1,umap2,cluster_gmm,prob_gmm_0,prob_gmm_1,prob_gmm_2,prob_gmm_3,prob_gmm_4,prob_gmm_5,prob_gmm_6,max_prob
-2.8403594,-1.018368,1,0.0,0.5048095452832372,0.0,0.4951904547167625,0.0,0.0,0.0,0.5048095452832372
1.6668215,1.0158542,1,0.0,0.5828781308829202,1.3649103295843348e-10,0.41712186898059034,0.0,0.0,0.0,0.5828781308829202
1.666457,1.0137507,1,0.0,0.5501452656042749,2.161809998428109e-28,0.4498547343957244,0.0,0.0,0.0,0.5501452656042749
11.229537,-5.6456995,1,0.0,0.5820570715607377,1.6410436049505945e-236,0.41794292843926306,0.0,0.0,0.0,0.5820570715607377
6.235104,-2.3790572,3,0.0,0.4217353049825269,5.417632874469631e-64,0.5782646950174737,0.0,0.0,0.0,0.5782646950174737
9.210383,-12.043295,1,0.0,0.527406364775934,0.0,0.4725936352240664,0.0,0.0,0.0,0.527406364775934
9.211863,-12.040477,1,0.0,0.520419784706689,0.0,0.47958021529331074,0.0,0.0,0.0,0.520419784706689
9.212732,-12.042763,1,0.0,0.5088229073245838,0.0,0.4911770926754163,0.0,0.0,0.0,0.5088229073245838
9.211397,-12.041556,3,0.0,0.4915053519310476,0.0,0.5084946480689524,0.0,0.0,0.0,0.5084946480689524
9.211433,-12.041958,3,0.0,0.4697598333721279,0.0,0.5302401666278719,0.0,0.0,0.0,0.5302401666278719
9.2103195,-12.044259,3,0.0,0.4426239080585416,0.0,0.5573760919414581,0.0,0.0,0.0,0.5573760919414581
9.208436,-12.046645,3,0.0,0.41160251970954953,0.0,0.5883974802904501,0.0,0.0,0.0,0.5883974802904501
2.5777402,-11.180162,3,0.0,0.00011659652811207666,0.0,0.5185565624285984,0.48132684104328965,0.0,0.0,0.5185565624285984
2.5861862,-11.178072,4,0.0,0.47337161557099944,0.0,0.034136539430607356,0.4924918449983937,0.0,0.0,0.4924918449983937
-0.63881564,1.3205413,1,0.0,0.5858372378650708,0.41416276213492836,0.0,0.0,0.0,0.0,0.5858372378650708
16.294468,1.1032047,0,0.5705332032497097,0.4294667967502903,2.990869823826339e-18,2.2932939565314445e-62,0.0,0.0,9.650756253411798e-21,0.5705332032497097
16.295275,1.1038184,0,0.5130356247832051,0.4869643752167953,2.1430717522398178e-23,1.8006219105046661e-62,0.0,0.0,8.288231008532952e-21,0.5130356247832051
16.29488,1.1034832,1,0.45858203276132514,0.5414179672386746,8.033492769702944e-30,1.3963349012809402e-62,0.0,0.0,7.086307765700236e-21,0.5414179672386746
16.294405,1.1023511,1,0.4090575561293685,0.5909424438706317,1.5794778658100426e-37,1.0906478899270113e-62,0.0,0.0,6.041768600215396e-21,0.5909424438706317
0.04182252,1.4244432,2,0.0,4.103347689555554e-61,0.5543343896823469,0.0,0.0,0.0,0.4456656103176516,0.5543343896823469
1.6314279,3.5540829,4,0.0,0.00026501505835683034,0.0,0.44598608613766977,0.5537488988039729,0.0,0.0,0.5537488988039729
4.9741697,-8.586962,1,0.0,0.5950362629696965,3.5273892397e-314,0.40496373703030314,0.0,0.0,0.0,0.5950362629696965
6.22764,-2.4991772,2,0.0,0.46268577327387295,0.537314226726127,6.543352136282318e-116,0.0,0.0,0.0,0.537314226726127
-2.9940636,1.7639263,3,0.0,0.4104174921001448,0.0,0.5895825078998553,0.0,0.0,0.0,0.5895825078998553
-2.9296033,1.8464606,3,0.0,0.4689765302440711,0.0,0.5310234697559286,0.0,0.0,0.0,0.5310234697559286
-2.8846254,1.9782238,1,0.0,0.5183499550803509,0.0,0.4816500449196495,0.0,0.0,0.0,0.5183499550803509
-2.8203242,2.0735157,1,0.0,0.5625804160219707,0.0,0.4374195839780289,0.0,0.0,0.0,0.5625804160219707
-2.8143427,2.1279042,1,0.0,0.5972200754879528,0.0,0.4027799245120474,0.0,0.0,0.0,0.5972200754879528
10.549757,-3.156676,3,0.0,0.0,0.0,0.5290308838690948,0.47096911613090553,0.0,0.0,0.5290308838690948
-13.418639,-7.1598215,3,0.0,0.49599505892627727,0.0,0.5040049410737228,7.930804565914012e-16,0.0,0.0,0.5040049410737228
